"35059200","35059711","GB","GBR","UNITED KINGDOM"
"35060736","35061247","GB","GBR","UNITED KINGDOM"
"35061248","35061759","FR","FRA","FRANCE"
"35090432","35094527","GR","GRC","GREECE"
"35127296","35651583","GB","GBR","UNITED KINGDOM"
"35651584","36700159","IT","ITA","ITALY"
"36700160","36962303","AE","ARE","UNITED ARAB EMIRATES"
"36962304","37224447","IL","ISR","ISRAEL"
"37224448","37265407","UA","UKR","UKRAINE"
"37265408","37268479","CZ","CZE","CZECH REPUBLIC"
"37268480","37289983","UA","UKR","UKRAINE"
"37289984","37298175","RU","RUS","RUSSIAN FEDERATION"
"37298176","37486591","UA","UKR","UKRAINE"
"37486592","37748735","RU","RUS","RUSSIAN FEDERATION"
"37748736","38273023","SE","SWE","SWEDEN"
"38273024","38797311","KZ","KAZ","KAZAKHSTAN"
"38797312","39059455","PT","PRT","PORTUGAL"
"39059456","39321599","GR","GRC","GREECE"
"39321600","39583743","SA","SAU","SAUDI ARABIA"
"39583744","39845887","RU","RUS","RUSSIAN FEDERATION"
"39845888","40370175","GB","GBR","UNITED KINGDOM"
"40370176","40894463","DK","DNK","DENMARK"
"40894464","41418751","IT","ITA","ITALY"
"41418752","41943039","GB","GBR","UNITED KINGDOM"
"41943040","42205183","DK","DNK","DENMARK"
"42205184","42467327","KZ","KAZ","KAZAKHSTAN"
"42467328","42991615","ES","ESP","SPAIN"
"42991616","43253759","IR","IRN","ISLAMIC REPUBLIC OF IRAN"
"43253760","43515903","NO","NOR","NORWAY"
"43515904","43778047","ES","ESP","SPAIN"
"43778048","44040191","IT","ITA","ITALY"
"44040192","45088767","DE","DEU","GERMANY"
"45088768","46137343","IR","IRN","ISLAMIC REPUBLIC OF IRAN"
"46137344","46661631","IT","ITA","ITALY"
"46661632","47710207","DE","DEU","GERMANY"
"47710208","48234495","GB","GBR","UNITED KINGDOM"
"48234496","49283071","IT","ITA","ITALY"
"49283072","49807359","DE","DEU","GERMANY"
"49807360","50331647","SE","SWE","SWEDEN"
"50331648","57083940","US","USA","UNITED STATES"
"57083941","57083941","BE","BEL","BELGIUM"
"57083942","68257567","US","USA","UNITED STATES"
"68257568","68257599","CA","CAN","CANADA"
"68257600","68259583","US","USA","UNITED STATES"
"68259584","68259599","CA","CAN","CANADA"
"68259600","68296775","US","USA","UNITED STATES"
"68296776","68296783","MX","MEX","MEXICO"
"68296784","68298887","US","USA","UNITED STATES"
"68298888","68298895","CA","CAN","CANADA"
"68298896","68305407","US","USA","UNITED STATES"
"68305408","68305919","MX","MEX","MEXICO"
"68305920","68314143","US","USA","UNITED STATES"
"68314144","68314151","CA","CAN","CANADA"
"68314152","68395663","US","USA","UNITED STATES"
"68395664","68395671","CA","CAN","CANADA"
"68395672","68438287","US","USA","UNITED STATES"
"68438288","68438303","CA","CAN","CANADA"
"68438304","68649143","US","USA","UNITED STATES"
"68649144","68649151","CA","CAN","CANADA"
"68649152","69533951","US","USA","UNITED STATES"
"69533952","69534207","CA","CAN","CANADA"
"69534208","69915111","US","USA","UNITED STATES"
"69915112","69915119","CA","CAN","CANADA"
"69915120","69937263","US","USA","UNITED STATES"
"69937264","69937271","CA","CAN","CANADA"
"69937272","69956103","US","USA","UNITED STATES"
"69956104","69956111","BM","BMU","BERMUDA"
"69956112","71571339","US","USA","UNITED STATES"
"71571340","71571340","DE","DEU","GERMANY"
"71571341","71571389","US","USA","UNITED STATES"
"71571390","71571390","DE","DEU","GERMANY"
"71571391","71571713","US","USA","UNITED STATES"
"71571714","71571715","DE","DEU","GERMANY"
"71571716","71595007","US","USA","UNITED STATES"
"71595008","71595519","GB","GBR","UNITED KINGDOM"
"71595520","71664639","US","USA","UNITED STATES"
"71664640","71664692","GB","GBR","UNITED KINGDOM"
"71664693","71664693","US","USA","UNITED STATES"
"71664694","71664700","GB","GBR","UNITED KINGDOM"
"71664701","71664701","US","USA","UNITED STATES"
"71664702","71664704","GB","GBR","UNITED KINGDOM"
"71664705","71664705","US","USA","UNITED STATES"
"71664706","71664752","GB","GBR","UNITED KINGDOM"
"71664753","71664753","US","USA","UNITED STATES"
"71664754","71664895","GB","GBR","UNITED KINGDOM"
"71664896","71665077","US","USA","UNITED STATES"
"71665078","71665078","DE","DEU","GERMANY"
"71665079","71666464","US","USA","UNITED STATES"
"71666465","71666465","DE","DEU","GERMANY"
"71666466","71666529","US","USA","UNITED STATES"
"71666530","71666530","GB","GBR","UNITED KINGDOM"
"71666531","71666711","US","USA","UNITED STATES"
"71666712","71666719","DE","DEU","GERMANY"
